repository,wrong,correct,commit,file,line
agabrys/sonarqube-falsepositives,SINGLETON_UNMODIFICABLE_SET,SINGLETON_UNMODIFIABLE_SET,3956659b8071f06b308e81f190ee61626266d9eb,src/main/java/biz/gabrys/agabrys/sonarqube/falsepositives/d20180305/S2386.java,12
agabrys/sonarqube-falsepositives,SINGLETON_UNMODIFICABLE_LIST,SINGLETON_UNMODIFIABLE_LIST,3956659b8071f06b308e81f190ee61626266d9eb,src/main/java/biz/gabrys/agabrys/sonarqube/falsepositives/d20180305/S2386.java,14
agabrys/sonarqube-falsepositives,SINGLETON_UNMODIFICABLE_MAP,SINGLETON_UNMODIFIABLE_MAP,3956659b8071f06b308e81f190ee61626266d9eb,src/main/java/biz/gabrys/agabrys/sonarqube/falsepositives/d20180305/S2386.java,16
AgenciaImplementacion/ili2db,META_INFO_COLUMN_TAB_COLUMNAME_COL,META_INFO_COLUMN_TAB_COLUMNNAME_COL,7cbeb41e3481be8de343ebf8092308a33e4a7fce,ili2pg/test/java/ch/ehi/ili2db/MetaInfo23Test.java,87
agilebirds/openflexo,AddShemaElementAction,AddSchemaElementAction,6ecc89e14971d0f3d2e69e8419ac6291b1c42e01,flexodesktop/model/flexofoundation/src/main/java/org/openflexo/foundation/view/diagram/viewpoint/editionaction/AddConnector.java,59
aina1205/cdk,implmentorsOf,implementorsOf,74ba3a4f701bb82e867d76d359940d261b6a3d93,src/main/org/openscience/cdk/DynamicFactory.java,671
AIRLab-POLIMI/ReLe,EnvirormentSettings,EnvironmentSettings,70213aa0c0abbd384859bd66b054242691e5aba3,rele/include/rele/core/Agent.h,99
AITestingOrg/banking-microservices-example,givenAcountAndCustomerExist_whenDebitingAAValidAmount_thenTheAmountIsDebited,givenAcountAndCustomerExist_whenDebitingAValidAmount_thenTheAmountIsDebited,353226c9ac3e5ea4fc9d7fd752a1688ca4f681a2,transactions/src/test/java/com/ultimatesoftware/banking/transactions/unit/TransactionServiceUnitTest.java,41
AITestingOrg/banking-microservices-example,givenAccountDoesNotExist_whenDebitingAAValidAmount_thenThrowNoAccountExists,givenAccountDoesNotExist_whenDebitingAValidAmount_thenThrowNoAccountExists,353226c9ac3e5ea4fc9d7fd752a1688ca4f681a2,transactions/src/test/java/com/ultimatesoftware/banking/transactions/unit/TransactionServiceUnitTest.java,70
AITestingOrg/banking-microservices-example,givenCustomerDoesNotExist_whenDebitingAAValidAmount_thenThrowNoCustomerExists,givenCustomerDoesNotExist_whenDebitingAValidAmount_thenThrowNoCustomerExists,353226c9ac3e5ea4fc9d7fd752a1688ca4f681a2,transactions/src/test/java/com/ultimatesoftware/banking/transactions/unit/TransactionServiceUnitTest.java,86
ajaykumar127/docs,ApplicationnOptions,ApplicationOptions,930632baf14f2acce924a678fa3bbe8a7eff9eeb,samples/snippets/csharp/new-in-7/new-in-7/throwexpressions.cs,23
ak32pvi/python_training,open_contacs_page,open_contacts_page,e1ac7dbb869509e006bf58588ddbf640cbf2950d,test_add_contact.py,36
akampjes/devtrain-stockexchange,furfilled,fulfilled,96b61e7fd946ce13a865850e7e69e92f4f7b52fe,app/services/match_orders.rb,9
akccakcctw/darklight,noConflick,noConflict,94d37b252533f30494877b79ee921f20cdcd4a7e,demo/darklight.js,271
akhilesh26/bookbrainz-site,IdentifireLink,IdentifierLink,6c111885d32994d9c00ea4263a143b04537e149b,src/client/components/pages/entities/identifiers.js,98
akiraandy/TicTacToeJava,getColumnns,getColumns,16a7d8f00170cdae4687b49b00f8d3d9c1fd0ace,src/tictactoe/Rules.java,54
Akiyamka/react-vis,foldChilndren,foldChildren,219c61f0f8f6125c7e6a506e8f8093f1b14d4469,showcase/treemap/tree-tools.js,81
akornatskyy/sample-blog-api-java,UserTransator,UserTranslator,a65c8bb4df0c8c3483f3b2645a63871b3831c5c9,modules/membership/src/main/java/com/github/blog/membership/repository/mock/UserRepositoryImpl.java,29
akoubaa/movsim,EquilibriumOVM_FCDM,EquilibriumOVM_FVDM,d57a3cec38cb258470d6a6cde77cc48bf7329fd3,src/main/java/org/movsim/simulator/vehicles/VehicleGenerator.java,201
alanzanattadev/atom-molecule-dev-environment,infos,info,453b5a525400e0e8df3b0a2feb0398415283efc3,lib/ExecutionControlEpic/DevToolsSummaryFeature/Containers/DevToolsWithDiagnostics.js,69
alanzanattadev/atom-molecule-dev-environment,packageInfos,packageInfo,453b5a525400e0e8df3b0a2feb0398415283efc3,lib/ExecutionControlEpic/LanguageServerProtocolFeature/Epics/Tasks.js,240
alanzanattadev/atom-molecule-dev-environment,stagerInfos,stagerInfo,453b5a525400e0e8df3b0a2feb0398415283efc3,lib/ExecutionControlEpic/LanguageServerProtocolFeature/Model/MoleculeLanguageClient.js,34
alanzanattadev/atom-molecule-dev-environment,DevToolInfos,DevToolInfo,453b5a525400e0e8df3b0a2feb0398415283efc3,lib/ExecutionControlEpic/PlanConfigurationFeature/Actions/AddPlanConfig.js,10
alanzanattadev/atom-molecule-dev-environment,PackageInfos,PackageInfo,453b5a525400e0e8df3b0a2feb0398415283efc3,lib/ExecutionControlEpic/PlanConfigurationFeature/Actions/AddPlanConfig.js,13
alanzanattadev/atom-molecule-dev-environment,toolInfos,toolInfo,453b5a525400e0e8df3b0a2feb0398415283efc3,lib/ExecutionControlEpic/PlanConfigurationFeature/Actions/AddPlanConfig.js,19
alanzanattadev/atom-molecule-dev-environment,DevToolsInfos,DevToolsInfo,453b5a525400e0e8df3b0a2feb0398415283efc3,lib/GlobalSystem/Reducers.js,13
alanzanattadev/atom-molecule-dev-environment,DevToolsInfosReducer,DevToolsInfoReducer,453b5a525400e0e8df3b0a2feb0398415283efc3,lib/ExecutionControlEpic/DevToolsSummaryFeature/Selectors/DevToolsInfo.js,4
alaponin/PNAutomatonConverter,convertor,converter,2eb6d095b06a1a51f7f23083f2e2a233478859cc,src/main/java/converter/utils/Extractor.java,0
albig/goobi-presentation,addHightlightField,addHighlightField,d822fd6533fe1cb115f10f6cee2abfa13024ef1f,dlf/plugins/pageview/tx_dlf_pageview.js,513
albig/goobi-presentation,hightlightStyle,highlightStyle,d822fd6533fe1cb115f10f6cee2abfa13024ef1f,dlf/plugins/pageview/tx_dlf_pageview.js,638
alejandrobrazabarba/nxt-original-,NXTUltrasonciDisplay,NXTUltrasonicDisplay,853b7b78acab9fa73b9b300e9adabc9c9ae375be,nxt_rviz_plugin/src/init.cpp,37
alejandrobrazabarba/nxt-original-,~NXTUltrasonciDisplay,~NXTUltrasonicDisplay,853b7b78acab9fa73b9b300e9adabc9c9ae375be,nxt_rviz_plugin/src/nxt_ultrasonic_display.h,66
alexanderg931/ReviewApp,DISH_RESTURANT_ID,DISH_RESTAURANT_ID,b733f3a56382e04f0f717603af1537084a173399,app/src/main/java/grant/gawk/reviewapp/DBHelper.java,47
alexetmanon/cordova-plugin-vliller,removeBitmapFromMemCahce,removeBitmapFromMemCache,d61cbfcded975fef2fc41661c829f5e883305374,src/android/plugin/google/maps/AsyncLoadImage.java,84
alexguirre/PoliceStationArmory,PoliceStationArmoury,PoliceStationArmory,30e208579cdbcb9a088f123cc11f38d187fe8a13,PoliceStationArmoury/Common.cs,7
alexguirre/PoliceStationArmory,Armoury,Armory,30e208579cdbcb9a088f123cc11f38d187fe8a13,PoliceStationArmoury/EntryPoint.cs,11
alexkravin/checkstyle,allowSamelineParametrizedAnnotation,allowSamelineParameterizedAnnotation,422ab30197875d7bce68b357cda977bd1cb45fab,src/main/java/com/puppycrawl/tools/checkstyle/checks/annotation/AnnotationLocationCheck.java,226
AlexLamson/DataWrangler,setttings,settings,a706f914c7239297dbdf4b8124d340faa33f8cfa,DataWrangler.py,48
alexmilk/playkit-js,removeElemenet,removeElement,90a8a41915ee1e130fa5a8f0339b6aa376d1807b,test/src/player.spec.js,1156
AleZonta/idsa,calculateForceInAllTheWord,calculateForceInAllTheWorld,7fffe9f48779c89ba8421685ac53de5635f5dbbf,project/idsa/src/main/java/nl/tno/idsa/framework/force_field/ArambulaPadillaFormulation.java,63
Alhadis/Accordion,redinex,reindex,3dcca9b03270e5c74fd52b4ace68488c69f39bca,accordion.min.js,0
alibaba/dubbo,listProvier,listProvider,7faa3f025e61508079e803af6a909896e3d67d2a,dubbo-plugin/dubbo-qos/src/main/java/com/alibaba/dubbo/qos/command/impl/Ls.java,45
allencloud/swarm,TestInti64ValueOrZero,TestInt64ValueOrZero,c34a45023f65d539f1fa42955cc04c9b1fe41a1f,api/utils_test.go,56
alonbasin-kaltura/KalturaOttGeneratedAPIClientsJava,isOprGroup,isOpcGroup,adc021ff64e11acdab55b942fe57bab926f515c1,src/test/java/com/kaltura/client/test/tests/BaseTest.java,338
alphacloud/quartznet,propetyName,propertyName,f2a46f85543d997cb79962a9c1de05f436b680e4,src/Quartz/ConfigurationBuilder.cs,91
alphapigger/igetui,requstId,requestId,4181f20be0c9dc4cbf5d95acd70e263f70475613,examples/demo.py,114
alsemyonov/rom-files,recursive,recursively,0b39934138a31389112cde320ba5ffda2a1084db,lib/rom/files/extensions/gem/relations/specifications.rb,8
alsemyonov/rom-files,not_recursive,non_recursively,0b39934138a31389112cde320ba5ffda2a1084db,spec/lib/rom/files/dataset/recursive_question_mark_spec.rb,25
amarnathk1547/cucumber-boilerplate,origionalSize,originalSize,f8d6edf4571a7190210b09a1db8bf8262d3a715e,src/support/check/checkDimension.js,39
amedama41/vvimpulation,showVideInfo,showVideoInfo,5514dd7cffb0ea2b2aef9e7eff6d4f26fde5fa09,content_scripts/command.js,84
amikey/htmlunit,paramterAsString,parameterAsString,7179c5c9bb5a243cfcc9cc9b6489cc928394310e,htmlunit/src/main/java/com/gargoylesoftware/htmlunit/WebConsole.java,269
amikey/htmlunit,paramterAsInteger,parameterAsInteger,7179c5c9bb5a243cfcc9cc9b6489cc928394310e,htmlunit/src/main/java/com/gargoylesoftware/htmlunit/WebConsole.java,277
amikey/htmlunit,paramterAsFloat,parameterAsFloat,7179c5c9bb5a243cfcc9cc9b6489cc928394310e,htmlunit/src/main/java/com/gargoylesoftware/htmlunit/WebConsole.java,293
amirkdv/biseqt,HF,WB,36117930f606e192708094139b000aacd7974814,experiments/blot_examples.py,154
amolenaar/workshop-testing,RoleDiceActionTable,RollDiceActionTable,b75e8c8fe196fa09da11d2afba825a1e812a1de0,src/main/java/nl/javadude/monopoly/fixtures/RollDiceActionTable.java,3
amolenaar/workshop-testing,RoleDiceDecisionTable,RollDiceDecisionTable,b75e8c8fe196fa09da11d2afba825a1e812a1de0,src/main/java/nl/javadude/monopoly/fixtures/RollDiceDecisionTable.java,3
anarcat/beets,rst,rest,7e0a48a46d7fe7b3d920db3f7e52cd9ca4978ea8,beetsplug/lyrics.py,745
anderssonjohan/node-client-settings,MONGO_URI,MONGODB_URI,b4ddccd8e75404f3827013c1b27ec668297423d9,lib/database.js,0
andimarek/graphql-java,geErrorType,getErrorType,a8ca9e0954273bf7194e5b4c279a6cd0bb46a323,src/main/java/graphql/ExceptionWhileDataFetching.java,31
AndreiRosca/pad-lab-1,whenRegisteringAListenerThoughAQueue_TheListenerIsSentToSession,whenRegisteringAListenerThroughAQueue_TheListenerIsSentToSession,79c1f10c89850ef26aa5d09d1517eeca77cfc628,broker-client/src/test/java/md/utm/pad/labs/broker/client/QueueTest.java,19
andrewblond/bem-walk,deep,depth,c83684f1a5e316198e0fcce1807055fae723579e,lib/index.js,15
andrew-d/cayley,serr,_err,c9de029225730419bab0019e3e173d2f1c0ff6f4,graph/iterator/and_iterator.go,296
andsel/moquette,proccessConnectionLost,processConnectionLost,1a66bc4645abd725209db3f9b8afb3cac2994b89,broker/src/main/java/org/dna/mqtt/moquette/messaging/spi/impl/SimpleMessaging.java,147
andy-uq/HomeTrack,TheadGlobalTimeServerIsShared,ThreadGlobalTimeServerIsShared,2a0e3c92d8630fc7b4cca21535009a0fd4b39070,test/DateTimeServerTests.cs,20
angular/angular.js,canceable,cancelable,f05ffd9bf1f5a9b71d8ce681667bb014538bc301,src/ngScenario/browserTrigger.js,84
angular/angular-pwa-builds,tempalteSource,templateSource,2f638b283714ff40cafa83ef477ec30c94667e6a,pwa/index.js,33
AnthonyCC/sf-temp-ui,DescripetiveDataCointainer,DescriptiveDataCointainer,6d402dce5196db800d4ee97a9c55c03f2946e1bf,projects/ERPSWebApp/src/com/freshdirect/webapp/ajax/browse/data/BrowseData.java,239
ap0llo/SyncTool,Dispose_deltes_the_working_directory,Dispose_deletes_the_working_directory,2cb9e1b376adb06b15ee0d5e71168adb8cb6a83e,SyncTool.FileSystem.Git/test/TemporaryWorkingDirectoryTest.cs,53
apache/accumulo,setAutorizations,setAuthorizations,7e87799e1941029b2a4c33fe09f1af416d264f6a,core/src/main/java/org/apache/accumulo/core/iterators/user/TransformingIterator.java,645
apache/asterixdb,getAccssedDatasets,getAccessedDatasets,410e704c2fdf18dafed4b3fef03488295079210b,asterixdb/asterix-metadata/src/main/java/org/apache/asterix/metadata/declared/MetadataProvider.java,1634
apache/camel,ShutdownGracefuTimeoutTriggerTest,ShutdownGracefulTimeoutTriggerTest,5c554b085629018b21a20c4dcbeb90c6cba30503,camel-core/src/test/java/org/apache/camel/impl/ShutdownGracefulTimeoutTriggerTest.java,26
apache/camel,ThrottingExceptionHalfOpenHandler,ThrottlingExceptionHalfOpenHandler,351375214872adc7a16ac18839cf9a8552ad4dc8,camel-core/src/test/java/org/apache/camel/processor/ThrottlingExceptionRoutePolicyTest.java,115
apache/camel,ThrottingExceptionRoutePolicyHalfOpenTest,ThrottlingExceptionRoutePolicyHalfOpenTest,351375214872adc7a16ac18839cf9a8552ad4dc8,camel-core/src/test/java/org/apache/camel/processor/ThrottlingExceptionRoutePolicyHalfOpenTest.java,32
apache/camel,ThrottingExceptionRoutePolicyHalfOpenHandlerTest,ThrottlingExceptionRoutePolicyHalfOpenHandlerTest,351375214872adc7a16ac18839cf9a8552ad4dc8,camel-core/src/test/java/org/apache/camel/processor/ThrottlingExceptionRoutePolicyHalfOpenHandlerTest.java,33
apache/camel,ThrottingExceptionRoutePolicyHalfOpenHandlerSedaTest,ThrottlingExceptionRoutePolicyHalfOpenHandlerSedaTest,351375214872adc7a16ac18839cf9a8552ad4dc8,camel-core/src/test/java/org/apache/camel/processor/ThrottlingExceptionRoutePolicyHalfOpenHandlerSedaTest.java,33
apache/camel,DefaultCxfMesssageMapper,DefaultCxfMessageMapper,f21e2299b1d3151bc2420fa44b881ee87d0a7378,components/camel-cxf/src/main/java/org/apache/camel/component/cxf/cxfbean/CxfBeanEndpoint.java,51
apache/camel,testFileConsumseDynamicDoneFileName,testFileConsumeDynamicDoneFileName,120728af5cc7f14fbefd3bf0fec532dfd0f77d69,camel-core/src/test/java/org/apache/camel/component/file/FileConsumeDoneFileIssueTest.java,62
apache/camel,LoadBrokerTest,LoanBrokerTest,4a499c8a716669d23a133f98ac8652e6845304f4,examples/camel-example-loan-broker/src/test/java/org/apache/camel/loanbroker/webservice/version/LoanBrokerTest.java,26
apache/commons-email,authenicator,authenticator,698a5347661f3c4a102e1ebffd97c44a4ac7a6ac,src/test/java/org/apache/commons/mail/DefaultAuthenticatorTest.java,48
apache/creadur-rat,NON_ASCII_THREASHOLD,NON_ASCII_THRESHOLD,c4becab5bef36db1f88447787c0603eac41e1af6,apache-rat-core/src/main/java/org/apache/rat/document/impl/guesser/BinaryGuesser.java,360
apache/creadur-rat,ASCII_CHAR_THREASHOLD,ASCII_CHAR_THRESHOLD,c4becab5bef36db1f88447787c0603eac41e1af6,apache-rat-core/src/main/java/org/apache/rat/document/impl/guesser/BinaryGuesser.java,361
apache/flink,shapshot,snapshot,044fe5fd92d423f4afa8c62737e86d96373d2a49,flink-runtime/src/main/java/org/apache/flink/runtime/state/KvState.java,53
apache/hadoop-common,INODE_REFRENCE,INODE_REFERENCE,56330ebccab16bb8f1324bba2b2faf6a613dcea9,hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/FSImageFormatProtobuf.java,550
apache/maven-shared,parseConstantPoolClassRefereces,parseConstantPoolClassReferences,488df80a3936d5f4ec86eb2e0b2fd97f45d7ad16,maven-dependency-analyzer/src/main/java/org/apache/maven/shared/dependency/analyzer/asm/ConstantPoolParser.java,79
apache/reef,ProbabilityOfSuccesfulIteration,ProbabilityOfSuccessfulIteration,d33717097761b74f3dd49aeb9a31c07c155e132b,lang/java/reef-examples/src/main/java/org/apache/reef/examples/group/bgd/parameters/BGDControlParameters.java,86
apache/reef,testMultipleInjectorInstaceWithSingleton,testMultipleInjectorInstanceWithSingleton,d33717097761b74f3dd49aeb9a31c07c155e132b,lang/java/reef-tang/tang/src/test/java/org/apache/reef/tang/TestBindSingleton.java,99
apache/reef,immutablilityTest,immutabilityTest,d33717097761b74f3dd49aeb9a31c07c155e132b,lang/java/reef-tang/tang/src/test/java/org/apache/reef/tang/formats/TestConfigurationModule.java,296
apache/sling,injectonStrategy,injectionStrategy,a2c666ce692d38960d99e59d95973d22a561d097,bundles/extensions/models/api/src/main/java/org/apache/sling/models/annotations/injectorspecific/RequestAttribute.java,61
apache/sling,addJobInteral,addJobInternal,0f8be876385931326bfb1d0cd54c0debac8ca649,bundles/extensions/event/src/main/java/org/apache/sling/event/impl/jobs/JobManagerImpl.java,703
apache/stratos,removeExpiredObsoledMemberFromCloudController,removeExpiredObsoletedMemberFromCloudController,6d156244217754648911447cccdd19a3429562b5,components/org.apache.stratos.cloud.controller/src/main/java/org/apache/stratos/cloud/controller/services/CloudControllerService.java,395
apache/stratos,isPersistanceRequired,isPersistenceRequired,10afa5c2a937fdafb6b8c001e33c0f867248c327,components/org.apache.stratos.cloud.controller/src/main/java/org/apache/stratos/cloud/controller/domain/Persistence.java,34
apache/stratos,getPersistanceRequired,getPersistenceRequired,10afa5c2a937fdafb6b8c001e33c0f867248c327,components/org.apache.stratos.rest.endpoint/src/main/java/org/apache/stratos/rest/endpoint/util/converter/ObjectConverter.java,1319
apache/stratos,setPersistanceRequired,setPersistenceRequired,10afa5c2a937fdafb6b8c001e33c0f867248c327,components/org.apache.stratos.rest.endpoint/src/main/java/org/apache/stratos/rest/endpoint/util/converter/ObjectConverter.java,1408
apache/tomcat,presserveCookieHeader,preserveCookieHeader,7408717a88695e06f3fc97a2c5822dd047aaabd7,java/org/apache/tomcat/util/http/LegacyCookieProcessor.java,202
apache/tomcat,storeConnectorAttribtues,storeConnectorAttributes,e92e9de579a3cb60cfbc7603103ad0392950dad7,java/org/apache/catalina/storeconfig/ConnectorSF.java,69
apache/tomcat,setTlsComprression,setTlsCompression,f46cab584283e23017e9f86749dd6f2f76e9e408,java/org/apache/coyote/spdy/SpdyAprNpnHandler.java,72
apache/tomcat,TestJspCpompilationContext,TestJspCompilationContext,a79f1a6809881f56fe928c08c655554f130f9688,test/org/apache/jasper/TestJspCompilationContext.java,29
apache/tomcat,inflator,inflater,3dc661722bb492af958112e11324ab41861ca046,java/org/apache/tomcat/websocket/PerMessageDeflate.java,199
apache/tomcat-maven-plugin,archiveOutputSteam,archiveOutputStream,be51963a74061c3c51b15a3b697f0c72f7200b95,tomcat7-maven-plugin/src/main/java/org/apache/tomcat/maven/plugin/tomcat7/run/AbstractExecWarMojo.java,478
apache/wicket,testTorelanceOnProblematicSessions,testToleranceOnProblematicSessions,f45814cbefe16bfb26478db4c18625d336e43bcc,wicket-devutils/src/test/java/org/apache/wicket/devutils/inspector/SessionSizeModelTest.java,37
apahim/ovirt-sdk-scripts,add_vm_net,add_vm_nic,6598fa19d0afde3c86d9354b97762aaa990947af,fisl14_create_vm.py,141
apereo/cas,PARAMETER_PROXY_GRANTINOG_TICKET,PARAMETER_PROXY_GRANTING_TICKET,f0f3b5ecdefa5d7dde281dee6a5788064adfc229,api/cas-server-core-api-protocol/src/main/java/org/apereo/cas/CasProtocolConstants.java,66
aperger/KeyValueService,MAX_COUNT_OF_CLIENT_TREADS,MAX_COUNT_OF_CLIENT_THREADS,4d0a9fc49b2867d5516f17bad8c597d9e22146b6,common/src/main/java/com/oneidentity/net/AbstractTcpServer.java,192
apjanke/google-maps-services-java,testBostonToConcordViaCharlestownAndLexignton,testBostonToConcordViaCharlestownAndLexington,fa0ccd96b89ae2a7ae8ccadc63ef5e11a1166922,src/test/java/com/google/maps/DirectionsApiTest.java,213
apjanke/google-maps-services-java,testBostonToConcordViaCharlestownAndLexigntonLatLng,testBostonToConcordViaCharlestownAndLexingtonLatLng,fa0ccd96b89ae2a7ae8ccadc63ef5e11a1166922,src/test/java/com/google/maps/DirectionsApiTest.java,236
Apoc-/Spectrum,parseCodeUnitAnnotiation,parseCodeUnitAnnotation,33127b52b946f8ee473cf8d302ea0d33bacbd8e8,src/amber/parser/AnnotationParser.java,58
Apoc-/Spectrum,parseFixedCodeUnitAnnotiation,parseFixedCodeUnitAnnotation,33127b52b946f8ee473cf8d302ea0d33bacbd8e8,src/amber/parser/AnnotationParser.java,96
aptivate/django-machina,TopicSubscribtionListView,TopicSubscriptionListView,5029fbd56f17ea40e5f5f1da9b7a0f3d3dbb9e78,machina/apps/forum_member/views.py,215
apupier/fuseide,validateRequiredParemeter,validateRequiredParameter,a6bec8295363dfd0d7ad8fda6f18a60908e7397c,editor/plugins/org.fusesource.ide.camel.editor/src/org/fusesource/ide/camel/editor/globalconfiguration/beans/validation/BeanValidationUtil.java,38
aqueduct/Aqueduct.Toggles,GetRenederingById,GetRenderingById,db0b1c24f7f564cc343a2d8dad85dedcfbf2dca1,Aqueduct.Toggles.Sitecore/ProcessXmlBasedLayoutDefinition.cs,80
arangodb/arangodb,prefixTargetServerEndoint,prefixTargetServerEndpoint,68941c1ea9320692f9afdc894df835c3d55691b5,arangod/Cluster/ClusterInfo.cpp,2278
arduino/arduino-builder,execSizeReceipe,execSizeRecipe,e56a5f5791280e5a6ee6fec2e08614e6d871d2bd,phases/sizer.go,129
areski/django-xadmin,get_perssmsion_name,get_permission_name,d3eb99fe23f9094fea5f50bb8d7189bd9795fee7,xadmin/plugins/auth.py,112
arghdos/spyJac,btype,ktype,ee8f3451b5ac57fab29d20391dd97cba7690841d,pyjac/libgen/libgen.py,247
